"gene","coef","hr","se_coef","z","pval","lower_95","upper_95","sig"
"KIF18B",-0.133469460245329,0.875054192509913,0.194077071863865,-0.687713695201206,0.491633093983642,0.598186003158796,1.28006980401697,""
"PDGFD",0.153536296481556,1.16595010624062,0.22544390717368,0.681039902148578,0.495846242487451,0.749517478039101,1.81375310126068,""
"CCL5",-0.0994199034366036,0.905362463386373,0.146405738404497,-0.67907108368882,0.497092823258321,0.679519140120828,1.20626652247542,""
"TNS1",0.188356665272304,1.20726402772383,0.278651232431356,0.675958486272636,0.499067002714338,0.69922009536666,2.0844458594567,""
"KPNA2",-0.177890918558566,0.83703372335419,0.265431637597488,-0.67019485758637,0.502733581600603,0.497516096264125,1.40824680707461,""
"ACSL1",0.144050411102674,1.15494232897375,0.216113297979359,0.666550427250582,0.505059342870519,0.756143678815331,1.76407185648256,""
"PKMYT1",0.164524202520037,1.17883209991387,0.249548091701059,0.659288561970354,0.509710485931789,0.722830105709062,1.92250586799255,""
"KIF4A",0.157563339586046,1.17065490443052,0.243027790450939,0.648334658738769,0.516768521935242,0.727048292221539,1.88492692979139,""
"CDC6",-0.155822150878114,0.855711364353351,0.247926571103071,-0.628501213826465,0.529675651736244,0.526370837153141,1.3911141868037,""
"MAD2L1",0.148127126944426,1.1596603110645,0.236833360096735,0.625448741190531,0.53167658071683,0.729017363376198,1.84469136761047,""
"MCM10",-0.109581259649888,0.896209335746286,0.176399645931361,-0.62121020181938,0.534461327914921,0.634246110753993,1.26637146032155,""
"ATF3",-0.159202582557097,0.85282357428771,0.257580306539164,-0.618069699101358,0.536529395109115,0.514761956017605,1.41290171186619,""
"TTK",-0.114728606844198,0.891608087407021,0.188210851363235,-0.60957487845788,0.542143457066439,0.616550468362285,1.28937535907034,""
"PTTG1",-0.137158999364856,0.871831594441448,0.225302633725608,-0.608776724429684,0.542672443427347,0.56060201433045,1.3558465892673,""
"PBK",0.139802457753393,1.15004659362884,0.234121251273811,0.597136983476525,0.550415927755108,0.726827022709317,1.81970004718201,""
"TICRR",-0.127657128218507,0.880155107764363,0.21382079685529,-0.597028587003644,0.550488294746202,0.578834784045216,1.33833182641488,""
"CCL19",0.0541051516416381,1.0555955939291,0.0912110360078092,0.593186460868681,0.553056372496433,0.882792417374956,1.26222431909409,""
"DEPDC1",-0.0979488768066406,0.906695255725957,0.165295262798302,-0.592569170758151,0.553469516287007,0.655785425574346,1.25360560740726,""
"LIFR",-0.0900030253478146,0.913928420315697,0.151890411524886,-0.592552383288976,0.553480754021155,0.678614023480705,1.23083981255877,""
"AR",0.056171106546874,1.05777866110702,0.0951767806937985,0.590176576024219,0.555072274445738,0.877768878987092,1.27470422189554,""
"RBP4",-0.0672846722954847,0.934929015061812,0.115322839546983,-0.583446198166779,0.559592965612575,0.745788460202787,1.17203779603505,""
"PROM1",-0.0681887200691154,0.934084176511989,0.117406381535817,-0.580792280429093,0.56138045845043,0.742077941087414,1.17577036117194,""
"ASF1B",-0.143552883643497,0.866274987198283,0.249327536606064,-0.575760245328658,0.564777247953856,0.531407636225544,1.41215952178542,""
"EGR1",0.109253048556825,1.11544457627175,0.190001969639406,0.575010084180547,0.565284476982877,0.768631230330726,1.61874323295283,""
"LPL",0.0716690704606234,1.07429976770442,0.125059840318084,0.573078218222062,0.566591734642026,0.840764474381258,1.37270308874446,""
"UBE2T",-0.1301260447369,0.877984758587977,0.227890910493143,-0.571001469322819,0.567998646845983,0.561701886043617,1.37236006405884,""
"KIF15",-0.122652162635409,0.884571296002911,0.215863195398767,-0.568193954549925,0.569903275997143,0.579415031245962,1.35044197253508,""
"CDKN2A",-0.0544067294150852,0.947046836350951,0.0967540226972837,-0.562320076192683,0.573897962270307,0.78345541065803,1.14479739119937,""
"AURKB",-0.118714810064665,0.888061030718841,0.218089535570779,-0.544339781154411,0.586207676610258,0.579168140660938,1.36169851017946,""
"ITGA7",0.0994187932034303,1.10452877185464,0.18270772195945,0.544141167856579,0.586344332977478,0.772068685905846,1.5801493184811,""
"CBX2",-0.0891955534547371,0.914666689853223,0.169801826055096,-0.525292074455051,0.59938016612149,0.655733372491371,1.27584653858389,""
"BCL2",0.0993452892546053,1.10444758761204,0.189442758808047,0.524407952458436,0.599994826517564,0.761888015683137,1.60102856151153,""
"CDC45",-0.126554405119793,0.881126210462429,0.242864571096487,-0.521090435498368,0.602303773465043,0.547408356007569,1.41828927206428,""
"TAL1",0.102987703138182,1.10847777819413,0.199996579927507,0.514947321476757,0.606589831771501,0.749013410900646,1.64045525336152,""
