baseMean,log2FoldChange,lfcSE,pvalue,padj,gene,regulation,log2FC_plot,negLog10Padj,gene_biotype
2023.571593,0.173034331,0.127924128,0.000741815,0.001075374,ADAMTS9,NS,0.173034331,2.968440343,protein_coding
608.3592879,-1.04215929,0.148667865,9.47E-13,2.34E-12,ADAMTSL1,Down,-1.04215929,11.63062418,protein_coding
315.3590947,1.22422311,0.130832843,3.65E-21,1.34E-20,ADAMTSL2,Up,1.22422311,19.87161719,protein_coding
759.850471,-0.608822587,0.187728724,0.000825997,0.001193597,ADAMTSL3,NS,-0.608822587,2.923142449,protein_coding
1236.637663,-0.924148157,0.16675218,1.59E-08,3.13E-08,ADAMTSL4,NS,-0.924148157,7.504942806,protein_coding
113.071335,-0.867245237,0.162056934,5.09E-08,9.74E-08,ADAMTSL5,NS,-0.867245237,7.011551963,protein_coding
136.5442942,1.248784203,0.164759431,1.25E-14,3.40E-14,ADAP1,Up,1.248784203,13.46810449,protein_coding
754.7180139,0.196556668,0.108585271,0.074755264,0.089758528,ADAP2,NS,0.196556668,1.046924278,protein_coding
27709.92532,0.994278573,0.063227114,1.01E-55,1.38E-54,ADAR,NS,0.994278573,53.85913412,protein_coding
2271.736193,-0.044122492,0.079917283,0.523472289,0.556389207,ADARB1,NS,-0.044122492,0.254621303,protein_coding
39.8811916,-0.421233737,0.208263827,0.000471959,0.000695675,ADARB2,NS,-0.421233737,3.157593719,protein_coding
1370.403233,0.181839958,0.066076561,0.005977862,0.008040456,ADAT1,NS,0.181839958,2.09471933,protein_coding
508.9044498,0.354943987,0.081954794,1.33E-05,2.20E-05,ADAT2,NS,0.354943987,4.656863021,protein_coding
65.46937385,1.458122419,0.144521949,1.64E-24,6.94E-24,ADAT3,Up,1.458122419,23.15885883,protein_coding
518.7269249,0.190339829,0.071324618,0.00743486,0.009911934,ADCK1,NS,0.190339829,2.003841603,protein_coding
1696.550053,0.563866446,0.066874901,3.12E-17,9.64E-17,ADCK2,NS,0.563866446,16.01588926,protein_coding
537.95119,1.55905889,0.110518395,1.10E-45,1.05E-44,ADCK5,Up,1.55905889,43.97720669,protein_coding
1203.163159,-1.168975201,0.189125516,2.28E-10,4.99E-10,ADCY1,Down,-1.168975201,9.301752782,protein_coding
23.78065374,-0.572948811,0.149760394,0.035007752,0.04366556,ADCY10,NS,-0.572948811,1.359860963,protein_coding
680.3892173,0.908298982,0.213260641,3.31E-12,7.95E-12,ADCY2,NS,0.908298982,11.09939791,protein_coding
2341.684678,0.115013056,0.102085357,0.259306891,0.290461009,ADCY3,NS,0.115013056,0.536912159,protein_coding
1204.171271,-2.042728723,0.121033666,1.22E-64,2.23E-63,ADCY4,Down,-2.042728723,62.65113821,protein_coding
